mine_id,timestamp,CH4_pct,CO_ppm,C2H4_ppm,C2H6_ppm,CO2_pct,O2_pct,temp_C,humidity_pct,dust_mgm3,label
Churcha RO,2026-09-06T03:02:00,0.196,5.3,0.39,0.83,0.381,21,31.4,60.1,1.65,0
Bhubaneswari OC,2026-09-08T04:02:00,0.624,10.8,0.06,1.06,0.302,20.51,24.7,69.2,2.04,1
Kenduadih,2026-09-04T20:56:00,0.234,5.8,0.35,0.68,0.499,20.33,27.6,64.0,1.93,1
Rajmahal OC,2026-09-06T12:17:00,0.303,20.8,0.44,0.78,0.283,21,21.1,67.2,0.92,1
Jhanjra UG,2026-09-04T05:06:00,0.461,13.3,0.57,1.52,0.433,20.32,35.1,55.7,1.63,2
Adriyala Shaft,2026-09-03T05:15:00,0.235,5.4,0.77,0,0.715,21,29.5,84.0,1.72,1
Kenduadih,2026-09-04T15:34:00,0.166,5.3,0.95,0.46,0.504,20.37,24.4,60.0,1.32,1
Bhatdih,2026-09-03T10:03:00,0.319,9.0,0.88,0.99,0.513,20.57,25.3,77.0,1.75,1
Moonidih,2026-09-07T18:06:00,0.172,11.7,0.88,0.92,0.438,20.03,27.4,79.0,2.05,1
Gevra OC,2026-09-06T07:42:00,0.274,10.1,0.9,1.61,0.466,19.27,26.5,60.0,2.71,2
Kenduadih,2026-09-01T05:38:00,0.255,9.5,0.23,0.77,0.317,20.51,28.2,61.1,0.5,1
Gevra OC,2026-09-02T22:42:00,0.645,3.0,0.57,1.31,0.451,20.39,27.9,57.6,1.98,1
Gevra OC,2026-09-07T05:56:00,0.29,5.0,0.58,0.8,0.437,20.49,29.9,74.9,1.51,1
Jayant OC,2026-09-01T09:01:00,0.154,8.2,0.37,0.75,0.202,20.63,24.4,52.6,1.66,0
Gevra OC,2026-09-06T19:39:00,0.35,7.9,0.64,0.34,0.575,20.6,29.3,90.8,0.71,1
Bhubaneswari OC,2026-09-09T08:42:00,0.255,3.9,0.27,0.35,0.37,20.57,22.7,88.6,0.64,0
Bhatdih,2026-09-08T06:06:00,0.403,7.5,0.63,0.4,0.479,20.33,28.1,69.3,1.51,1
Moonidih,2026-09-07T05:23:00,0.357,13.5,0.84,0.73,0.531,21,19.7,68.9,1.39,1
Jayant OC,2026-09-02T02:42:00,0.514,5.0,0.74,0.76,0.511,20.56,31.1,80.5,2.0,1
Gevra OC,2026-09-04T15:19:00,0.355,4.1,0.51,0.51,0.492,20.68,17.7,61.3,0.78,1
Churcha RO,2026-09-08T05:10:00,0,1.8,0.86,1.31,0.428,19.85,27.5,70.6,1.45,1
Adriyala Shaft,2026-09-02T02:24:00,0.328,6.1,0,1.35,0.1,21,22.7,51.4,1.41,0
Rajmahal OC,2026-09-07T03:26:00,0.629,5.2,0.66,0.73,0.509,21,23.0,56.3,0.82,1
Jhanjra UG,2026-09-07T08:24:00,0.419,12.3,0.54,0,0.515,20.21,30.6,69.9,0.78,1
Bhubaneswari OC,2026-09-06T22:15:00,0.269,3.9,0.35,0.99,0.49,19.94,23.9,56.8,1.96,1
Moonidih,2026-09-04T04:19:00,0.291,0,0.55,0.75,0.435,20.11,27.1,76.4,1.38,1
Bhubaneswari OC,2026-09-08T16:55:00,0.236,8.5,0.24,0.73,0.265,20.96,30.3,73.8,1.08,1
Gevra OC,2026-09-04T01:15:00,0.378,3.7,0.64,1.09,0.346,20.49,32.9,48.5,2.01,1
Moonidih,2026-09-01T07:23:00,0.318,0,0.68,0.71,0.323,20.76,23.8,61.6,1.19,1
Bhubaneswari OC,2026-09-07T01:10:00,0.222,6.6,0.77,0.41,0.365,20.74,33.2,54.8,1.25,1
Kenduadih,2026-09-01T15:58:00,0.186,8.5,0.3,0.85,0.47,20.69,33.6,45.1,1.37,1
Jhanjra UG,2026-09-06T14:16:00,0.178,3.7,0.73,0.82,0.429,20.1,33.6,62.0,0.81,1
Adriyala Shaft,2026-09-06T17:41:00,0.367,2.1,0.59,0.98,0.31,20.98,30.9,54.9,0.19,1
Kenduadih,2026-09-05T06:09:00,0.202,5.9,0.58,0.89,0.543,20.45,30.0,59.1,1.09,1
Rajmahal OC,2026-09-08T09:16:00,0,8.8,0,1.05,0.231,19.91,24.5,58.3,0.34,0
Jayant OC,2026-09-06T16:19:00,0.098,11.7,0,0.15,0.437,20.08,26.6,50.2,0.91,1
Jhanjra UG,2026-09-03T21:57:00,0.17,12.4,0,0.88,0.441,20.77,30.2,71.1,0.23,0
Gevra OC,2026-09-01T20:37:00,0.24,5.7,0.6,1.6,0.217,21,24.3,74.6,1.11,1
Kenduadih,2026-09-03T04:12:00,0.317,9.4,0.46,1.16,0.325,20.83,25.1,64.0,1.75,1
Gevra OC,2026-09-01T00:28:00,0.136,10.8,0.78,0.56,0.336,21,28.8,53.6,1.16,1
Bhatdih,2026-09-07T12:27:00,0.231,9.7,1.0,0.59,0.373,20.69,21.2,72.3,2.12,1
Bhubaneswari OC,2026-09-04T07:44:00,0.269,8.7,0.59,1.17,0.488,20.54,29.3,59.4,1.0,1
Gevra OC,2026-09-09T19:33:00,0.111,7.3,0.63,0.46,0.398,20.64,28.5,75.5,1.22,1
Gevra OC,2026-09-04T23:08:00,0.091,10.5,1.17,1.79,0.234,20.55,32.4,83.7,1.56,1
Adriyala Shaft,2026-09-09T19:03:00,0.273,7.5,0.1,0.99,0.483,20.42,27.1,70.5,1.07,1
Kenduadih,2026-09-01T09:26:00,0.521,7.8,0.47,0.73,0.362,20.02,24.3,73.6,1.04,1
Churcha RO,2026-09-02T03:31:00,0.314,6.3,0.3,0.63,0.367,20.61,26.4,64.0,1.11,1
Adriyala Shaft,2026-09-08T10:15:00,0.098,3.6,0.9,0,0.336,20.9,30.7,75.7,2.53,1
Moonidih,2026-09-02T08:41:00,0.178,9.7,0.51,1.2,0.484,19.28,28.4,65.7,1.19,1
Adriyala Shaft,2026-09-02T03:54:00,0,11.0,0.49,0.93,0.479,19.56,30.3,57.4,1.13,1
Moonidih,2026-09-06T10:11:00,0.158,10.2,0.51,0.59,0.329,21,21.9,63.1,2.79,0
Churcha RO,2026-09-01T05:06:00,0,14.0,0.46,1.19,0.506,19.78,23.8,50.6,2.44,1
Jayant OC,2026-09-03T15:58:00,0.451,11.9,0.32,0.41,0.355,19.84,23.5,49.8,0.47,1
Bhubaneswari OC,2026-09-06T16:33:00,0.417,10.7,0.72,0.89,0.339,21,25.0,49.6,0.59,1
Kenduadih,2026-09-01T00:41:00,0.21,12.9,0.75,0.8,0.492,20.28,24.5,71.8,0.63,1
Jhanjra UG,2026-09-07T12:52:00,0.131,7.8,0.32,0.81,0.401,20.06,26.4,72.1,0.49,1
Adriyala Shaft,2026-09-01T03:25:00,0.292,11.8,0.65,0.65,0.381,20.06,28.0,81.4,1.34,1
Jayant OC,2026-09-06T11:52:00,0.485,9.1,0.74,0.17,0.539,20.34,32.0,56.8,1.0,2
Moonidih,2026-09-02T21:14:00,0.163,11.1,0,0.46,0.549,19.86,24.3,57.8,2.16,1
Moonidih,2026-09-07T03:16:00,0.147,14.3,0.74,0.73,0.246,20.39,30.3,66.7,2.31,1
Kenduadih,2026-09-01T20:53:00,0.484,8.7,0.64,0.97,0.344,20.65,25.7,56.2,2.65,1
Kenduadih,2026-09-08T16:49:00,0.526,13.9,0.11,0.94,0.142,20.47,34.5,65.4,0.7,1
Jhanjra UG,2026-09-07T19:58:00,0.248,7.1,0.33,0.87,0.357,20.13,23.4,56.0,2.99,1
Adriyala Shaft,2026-09-06T22:47:00,0.243,18.2,0.82,0.72,0.469,20.88,25.9,49.2,1.12,1
Rajmahal OC,2026-09-03T16:34:00,0.522,6.2,0.35,0.56,0.342,20.08,32.9,79.4,1.36,1
Gevra OC,2026-09-07T00:33:00,0.237,1.4,0.13,0.6,0.547,20.22,24.1,46.2,0,0
Churcha RO,2026-09-01T22:50:00,0.235,10.2,0.53,0.67,0.341,20.5,25.6,63.3,2.09,1
Bhatdih,2026-09-09T22:18:00,0.353,12.8,0.29,1.14,0.288,20.0,25.4,62.3,1.02,1
Moonidih,2026-09-08T07:58:00,0.181,11.5,0.37,1.85,0.327,20.26,32.7,72.6,1.55,1
Gevra OC,2026-09-09T03:24:00,0.306,3.0,0.09,0.38,0.481,20.41,30.7,78.6,1.69,0
Moonidih,2026-09-03T10:38:00,0.386,3.4,0.67,1.16,0.497,20.49,31.6,63.5,1.05,1
Moonidih,2026-09-09T02:50:00,0.331,2.5,0.64,0.52,0.431,19.89,33.6,71.9,0,1
Rajmahal OC,2026-09-09T15:35:00,0.24,10.7,0.82,0.5,0.453,21,24.1,60.9,2.08,1
Moonidih,2026-09-02T12:16:00,0.404,10.4,0.53,1.37,0.465,20.32,36.1,70.2,0.45,1
Rajmahal OC,2026-09-04T10:32:00,0.481,7.9,0.43,0.12,0.382,19.91,27.6,56.6,1.56,1
Churcha RO,2026-09-02T06:34:00,0.386,7.2,0.86,0.67,0.437,20.51,24.7,49.9,2.06,1
Jayant OC,2026-09-05T17:04:00,0.182,2.3,0,0.8,0.342,20.07,28.9,67.8,1.64,0
Kenduadih,2026-09-02T23:37:00,0.444,0.1,0.23,1.04,0.328,20.75,26.5,68.2,2.78,0
Moonidih,2026-09-08T12:25:00,0.309,7.5,0.39,0.97,0.379,20.6,24.7,79.6,2.2,1
Moonidih,2026-09-06T00:35:00,0.117,8.8,0.7,1.1,0.437,19.9,30.2,63.6,0.72,1
Rajmahal OC,2026-09-06T06:26:00,0.002,8.7,0.57,0.44,0.356,20.3,27.5,69.1,2.77,1
Rajmahal OC,2026-09-09T14:41:00,0.36,10.0,0.33,0.6,0.512,20.99,26.8,63.6,1.52,1
Rajmahal OC,2026-09-04T03:18:00,0,13.4,0.7,0.8,0.466,19.42,23.2,55.7,2.43,1
Kenduadih,2026-09-03T00:20:00,0.389,9.1,0.23,0.83,0.317,19.85,31.0,75.6,2.22,1
Adriyala Shaft,2026-09-08T11:49:00,0,9.4,0.04,0.6,0.338,20.02,32.7,59.4,2.3,0
Bhatdih,2026-09-02T00:54:00,0.228,8.2,0.42,0.67,0.364,21,30.1,60.8,1.38,1
Rajmahal OC,2026-09-09T15:41:00,0.091,3.0,0.1,0.2,0.319,20.53,29.1,63.6,3.19,0
Jhanjra UG,2026-09-03T16:08:00,0.229,10.1,0.57,0.16,0.372,21,24.0,64.3,0.32,1
Bhubaneswari OC,2026-09-08T07:04:00,0.297,10.8,0.83,0.06,0.318,20.99,33.2,67.7,1.41,1
Bhatdih,2026-09-09T20:53:00,0.27,8.9,0.68,1.64,0.328,20.93,26.8,65.9,2.2,1
Bhatdih,2026-09-09T08:24:00,0.284,9.6,0.3,0.56,0.383,20.23,24.9,54.2,0.25,1
Adriyala Shaft,2026-09-05T06:09:00,0.161,7.6,0.73,0.46,0.265,20.58,25.8,64.9,1.66,1
Jhanjra UG,2026-09-08T06:37:00,0.352,11.0,0.84,1.04,0.266,20.12,29.8,76.4,2.28,2
Jhanjra UG,2026-09-03T16:25:00,0.207,4.7,0.51,1.01,0.355,20.35,19.6,63.3,1.79,1
Kenduadih,2026-09-08T15:10:00,0.372,13.6,0.42,1.27,0.288,21,19.3,67.8,2.57,1
Adriyala Shaft,2026-09-02T07:24:00,0.398,3.3,0.65,0.09,0.461,21,27.4,81.0,1.02,1
Jayant OC,2026-09-01T17:32:00,0.438,8.5,0.54,0,0.369,20.12,21.1,60.1,1.19,1
Churcha RO,2026-09-09T13:14:00,0.483,11.2,0.8,0.51,0.636,20.51,26.2,55.4,0.07,2
Bhubaneswari OC,2026-09-08T07:58:00,0.446,9.0,0.22,0.24,0.313,20.56,21.8,69.4,1.75,1
Churcha RO,2026-09-06T13:23:00,0.236,16.0,0.34,0.94,0.355,19.65,26.2,62.6,2.67,1
Churcha RO,2026-09-04T13:35:00,0.31,11.3,0.86,0.78,0.596,20.08,29.8,62.6,2.69,2
Rajmahal OC,2026-09-04T14:50:00,0.157,8.4,0.28,0.7,0.368,20.93,26.2,49.3,2.22,0
Jhanjra UG,2026-09-01T02:52:00,0.126,11.9,0.71,0.96,0.225,19.93,24.0,74.4,1.76,1
Jhanjra UG,2026-09-05T22:38:00,0.1,9.0,0.7,0.96,0.306,21.0,26.5,42.2,0.55,1
Moonidih,2026-09-01T19:32:00,0.428,15.0,0.31,0.53,0.317,20.72,33.6,67.7,0.88,1
Rajmahal OC,2026-09-07T18:12:00,0.234,2.8,0.37,0.46,0.247,19.37,30.7,69.2,0.54,1
Rajmahal OC,2026-09-05T07:38:00,0.432,14.2,0.55,1.24,0.339,20.4,22.9,57.0,1.13,1
Adriyala Shaft,2026-09-05T17:52:00,0.154,9.1,0.69,0.81,0.272,20.47,24.4,64.8,2.21,1
Kenduadih,2026-09-01T15:07:00,0.421,8.0,0.82,0.47,0.48,20.52,31.6,67.4,0.31,1
Bhatdih,2026-09-04T09:05:00,0.494,10.3,0.95,0.78,0.411,20.93,32.6,61.7,3.01,2
Jayant OC,2026-09-04T15:47:00,0.317,4.6,0.01,1.62,0.506,20.04,28.5,71.2,1.11,1
Adriyala Shaft,2026-09-08T19:00:00,0.311,11.0,0.48,1.09,0.497,19.68,23.7,78.7,1.74,1
Rajmahal OC,2026-09-03T16:17:00,0.341,15.5,0.35,0.56,0.463,21,23.1,57.8,1.21,1
Jayant OC,2026-09-02T22:33:00,0.334,13.2,1.01,1.04,0.276,20.58,24.0,64.8,1.31,1
Bhubaneswari OC,2026-09-05T07:17:00,0.214,7.8,0.54,0.62,0.313,20.88,30.2,69.2,1.11,1
Bhubaneswari OC,2026-09-04T03:46:00,0.433,7.1,0.63,1.18,0.254,20.91,25.3,72.6,0.51,1
Bhatdih,2026-09-07T15:08:00,0.359,9.7,0.14,0.96,0.348,20.75,21.8,63.6,1.52,1
Rajmahal OC,2026-09-02T14:47:00,0.172,7.3,0.27,0.83,0.42,20.38,29.9,68.5,1.63,1
Gevra OC,2026-09-04T18:36:00,0.412,7.8,0.78,0.12,0.336,20.21,31.4,56.0,2.47,1
Rajmahal OC,2026-09-03T05:40:00,0.419,14.2,0.22,1.27,0.237,20.56,31.0,58.7,1.24,1
Gevra OC,2026-09-05T19:41:00,0.506,3.1,0.69,0.08,0.523,20.9,29.8,59.3,2.57,1
Jayant OC,2026-09-05T23:44:00,0.278,12.3,0.69,0.51,0.178,19.83,25.8,68.3,2.78,1
Churcha RO,2026-09-02T03:16:00,0.335,9.0,0.79,1.58,0.533,20.34,28.2,66.6,0.53,1
Kenduadih,2026-09-06T10:55:00,0.423,12.8,0.69,0.57,0.401,20.91,26.5,61.2,1.6,1
Bhubaneswari OC,2026-09-08T20:47:00,0.269,0.1,0.62,1.26,0.35,21,35.3,52.0,1.24,1
Kenduadih,2026-09-01T00:33:00,0.103,10.3,0,0.62,0.329,20.54,30.9,69.6,1.1,0
Jhanjra UG,2026-09-05T19:14:00,0.346,5.5,0.78,1.7,0.412,21,26.5,75.6,1.55,1
Moonidih,2026-09-04T16:48:00,0.207,7.2,0.74,0.51,0.4,21,23.4,50.1,1.56,1
Kenduadih,2026-09-05T03:40:00,0.36,10.2,0.07,0.66,0.561,20.69,24.2,68.8,1.1,1
Bhubaneswari OC,2026-09-08T23:00:00,0.212,5.9,0.36,0.62,0.432,20.52,25.5,63.6,2.01,1
Adriyala Shaft,2026-09-01T10:05:00,0.371,8.6,0.53,0.89,0.502,20.63,23.4,54.3,2.39,1
Jhanjra UG,2026-09-04T12:49:00,0.543,10.4,0.8,1.0,0.468,21,31.1,47.9,2.49,1
Bhubaneswari OC,2026-09-05T10:10:00,0.478,8.2,1.47,1.0,0.555,21,31.3,67.6,2.27,2
Moonidih,2026-09-07T10:00:00,0.294,3.0,0.75,1.12,0.371,20.95,33.6,69.8,2.08,1
Jhanjra UG,2026-09-03T11:49:00,0.282,9.5,0.12,0.56,0.445,21,27.0,59.4,0.36,0
Churcha RO,2026-09-02T04:31:00,0.301,12.7,0.39,0.47,0.566,20.34,31.5,68.5,2.06,1
Adriyala Shaft,2026-09-03T08:57:00,0.453,5.9,0.85,0.57,0.327,21,23.9,74.7,1.6,1
Moonidih,2026-09-09T05:04:00,0.14,8.4,0.37,1.39,0.424,20.8,24.3,78.3,1.26,0
Rajmahal OC,2026-09-01T19:54:00,0.579,9.9,0.71,0.77,0.495,21,28.0,60.4,1.85,1
Gevra OC,2026-09-06T13:41:00,0.318,5.1,0.42,0.22,0.304,20.38,23.4,63.2,0.45,1
Gevra OC,2026-09-02T01:36:00,0.234,11.7,0.73,1.49,0.477,21,33.9,68.4,2.38,1
Jayant OC,2026-09-02T14:51:00,0.2,3.9,0.43,0.51,0.309,21,36.3,74.9,1.74,1
Moonidih,2026-09-02T09:04:00,0.469,3.8,0.88,1.37,0.282,20.55,26.7,55.9,0.84,1
Adriyala Shaft,2026-09-07T23:06:00,0.366,7.6,0.44,0.31,0.445,21,28.0,79.0,2.07,1
Kenduadih,2026-09-03T17:38:00,0.525,5.2,0.76,0.38,0.222,20.66,30.2,57.6,1.92,1
Bhubaneswari OC,2026-09-09T06:24:00,0.596,4.5,0,0.38,0.458,20.07,23.0,51.1,1.24,1
Rajmahal OC,2026-09-09T04:56:00,0.4,10.7,0.4,1.22,0.374,19.86,31.9,78.4,1.38,1
Bhatdih,2026-09-03T03:02:00,0.732,8.5,0.56,1.14,0.432,19.31,31.9,44.9,0.46,2
Bhubaneswari OC,2026-09-04T23:04:00,0.286,6.7,0.63,0.45,0.498,20.6,35.3,73.5,1.94,1
Gevra OC,2026-09-02T01:58:00,0.325,5.6,0.71,0.26,0.206,20.0,25.2,60.2,1.37,1
Gevra OC,2026-09-01T20:49:00,0.105,3.7,0.95,0.1,0.501,20.75,25.9,57.2,0.61,1
Jayant OC,2026-09-09T02:14:00,0.472,9.6,0.34,1.27,0.328,21,31.4,77.3,3.63,1
Jayant OC,2026-09-09T13:49:00,0.293,7.0,0.79,0.91,0.431,20.36,27.4,61.6,1.7,1
Jhanjra UG,2026-09-07T10:43:00,0.313,3.4,0.6,1.18,0.284,20.22,32.9,64.8,1.53,1
Kenduadih,2026-09-06T19:52:00,0.418,13.0,0.74,0.47,0.443,20.21,32.8,73.4,1.6,2
Bhubaneswari OC,2026-09-03T09:00:00,0.184,5.0,0.69,0.67,0.377,20.23,27.8,60.8,1.46,1
Gevra OC,2026-09-05T17:30:00,0.188,7.3,0.36,0.72,0.407,20.66,32.8,68.5,2.43,1
Kenduadih,2026-09-05T01:29:00,0.29,5.8,0.48,0.73,0.272,20.13,30.4,66.6,1.2,1
Moonidih,2026-09-07T07:24:00,0.559,13.4,0.68,0.34,0.211,20.35,29.5,59.5,3.1,2
Rajmahal OC,2026-09-04T16:19:00,0.368,7.7,0.26,1.54,0.337,20.44,23.6,65.0,1.65,1
Gevra OC,2026-09-05T01:40:00,0.286,1.4,0.53,1.4,0.417,20.24,30.7,92.7,1.44,1
Bhatdih,2026-09-07T16:43:00,0.528,2.2,0.53,0.71,0.324,20.36,32.9,82.4,1.31,1
Kenduadih,2026-09-03T06:41:00,0.246,12.2,0.17,0.35,0.465,20.11,29.5,56.4,0.96,1
Jhanjra UG,2026-09-03T10:04:00,0.101,5.0,0.55,1.01,0.319,19.51,31.6,59.3,2.65,1
Rajmahal OC,2026-09-07T09:28:00,0.161,1.8,0.4,1.11,0.575,20.57,28.8,53.8,3.45,0
Bhatdih,2026-09-01T11:05:00,0.356,10.1,0.55,0.87,0.538,20.44,23.7,56.5,1.02,1
Bhubaneswari OC,2026-09-04T01:26:00,0.238,13.2,0.93,0.23,0.428,20.7,31.6,59.1,1.58,1
Moonidih,2026-09-06T14:56:00,0.628,3.6,0.58,1.39,0.42,20.82,32.4,87.3,0.47,1
Adriyala Shaft,2026-09-09T16:41:00,0.377,1.8,0.73,0.22,0.283,20.41,24.1,77.1,1.11,1
Moonidih,2026-09-01T06:18:00,0.137,7.4,0.54,0.7,0.521,20.48,22.8,74.9,0.6,1
Bhubaneswari OC,2026-09-03T14:53:00,0.236,5.3,0.65,1.01,0.302,19.89,30.6,76.4,1.82,1
Bhubaneswari OC,2026-09-04T14:05:00,0.449,10.5,0.67,1.28,0.499,20.11,25.2,70.5,2.37,1
Bhatdih,2026-09-02T16:45:00,0.326,5.4,0.89,0.74,0.342,20.48,26.3,61.1,0.41,1
Jayant OC,2026-09-03T04:11:00,0.241,0,0.37,0.65,0.372,20.45,29.7,72.9,2.6,0
Moonidih,2026-09-05T00:29:00,0.084,5.0,0.62,0.85,0.292,20.32,26.6,69.6,1.9,1
Bhubaneswari OC,2026-09-04T17:17:00,0.416,4.0,1.12,0.83,0.41,21,23.9,66.6,2.45,1
Kenduadih,2026-09-05T10:58:00,0.397,2.9,0.1,0.87,0.462,20.94,29.3,66.6,1.66,0
Churcha RO,2026-09-06T01:05:00,0.448,9.3,0.7,1.34,0.283,20.01,22.2,55.1,1.89,1
Bhatdih,2026-09-05T10:33:00,0.448,4.2,1.07,1.09,0.248,20.6,26.8,60.0,1.57,1
Jayant OC,2026-09-05T13:38:00,0.071,7.0,0.39,0.68,0.382,19.8,32.6,64.1,0.8,1
Gevra OC,2026-09-03T19:14:00,0,7.7,0.89,0.15,0.24,20.06,24.9,63.5,0.57,1
Bhatdih,2026-09-09T20:13:00,0.308,8.0,0.92,0.88,0.543,21,32.6,30,0.88,1
Moonidih,2026-09-06T10:25:00,0.37,4.1,0.15,0.8,0.437,20.3,32.8,65.5,1.11,1
Kenduadih,2026-09-08T17:57:00,0.273,7.4,0.62,1.12,0.322,21,34.2,56.0,0.94,1
Gevra OC,2026-09-01T06:36:00,0.164,0.9,0.63,0.92,0.385,19.86,27.3,59.5,0.58,1
Gevra OC,2026-09-07T05:38:00,0.396,0.0,0.02,1.64,0.395,20.62,33.6,63.6,2.07,0
Churcha RO,2026-09-08T09:13:00,0.137,12.4,0.12,0.7,0.317,21,28.8,57.6,1.51,0
Rajmahal OC,2026-09-08T23:55:00,0.276,9.8,0.61,0.12,0.493,20.22,32.5,66.8,0.98,1
Rajmahal OC,2026-09-01T14:24:00,0.3,6.7,0.75,0.82,0.355,21,27.5,71.8,1.48,1
Rajmahal OC,2026-09-01T18:48:00,0.397,10.3,1.06,1.01,0.462,20.18,29.4,62.0,1.63,2
Bhatdih,2026-09-03T08:07:00,0.053,6.2,0.34,0.9,0.478,19.66,26.6,61.2,0.94,1
Moonidih,2026-09-05T19:57:00,0.486,6.7,0.8,1.1,0.324,20.38,34.8,58.7,1.06,2
Gevra OC,2026-09-08T19:22:00,0.259,6.8,0.48,1.65,0.439,20.97,29.2,73.5,1.91,1
Bhatdih,2026-09-08T03:29:00,0.251,10.3,0.53,0.07,0.599,21,28.5,52.1,2.7,1
Bhatdih,2026-09-07T05:44:00,0.449,5.5,0.07,0.52,0.416,20.66,35.8,48.6,0.32,1
Gevra OC,2026-09-03T16:06:00,0.375,0,0.43,0.83,0.308,20.57,25.6,66.5,1.62,1
Jayant OC,2026-09-04T17:10:00,0.097,10.9,0.01,0.53,0.529,20.66,23.2,56.6,1.98,0
Bhubaneswari OC,2026-09-02T23:59:00,0.198,10.4,0.66,0.31,0.423,19.98,29.2,52.8,1.6,1
Kenduadih,2026-09-02T21:52:00,0.52,9.0,0.37,0.51,0.35,20.94,30.5,61.4,2.26,1
Kenduadih,2026-09-03T21:09:00,0.32,4.1,0.06,0.82,0.555,21.0,34.6,50.9,1.49,0
Bhubaneswari OC,2026-09-05T13:45:00,0.298,4.1,0.44,0.57,0.369,20.32,24.8,45.0,0.74,1
Gevra OC,2026-09-09T11:07:00,0.498,7.7,0.23,0.49,0.513,19.7,36.0,73.2,1.53,1
Bhatdih,2026-09-03T15:08:00,0.299,9.9,0.34,0.68,0.304,20.3,31.6,55.8,2.18,1
Adriyala Shaft,2026-09-08T21:27:00,0.029,5.4,0.3,1.12,0.351,21,28.4,66.1,1.23,0
Jhanjra UG,2026-09-09T13:35:00,0.233,12.9,0.72,0.42,0.456,20.66,22.7,59.4,1.73,1
Bhubaneswari OC,2026-09-01T01:36:00,0.22,9.9,0.47,0.82,0.238,20.51,27.3,57.3,2.44,1
Bhubaneswari OC,2026-09-05T14:33:00,0.212,7.5,0.36,0.19,0.418,21,33.1,93.5,1.26,1
Churcha RO,2026-09-06T17:49:00,0.096,7.2,0.51,1.36,0.323,19.86,26.0,53.6,0.53,1
Moonidih,2026-09-01T22:59:00,0.201,3.3,0.57,0.16,0.431,19.38,32.8,67.5,0.87,1
Kenduadih,2026-09-05T15:05:00,0.299,1.6,0.4,0.74,0.34,20.55,39.6,74.7,1.9,1
Jhanjra UG,2026-09-03T18:47:00,0.104,0.2,0.48,0.76,0.453,20.31,35.8,69.8,1.53,1
Jhanjra UG,2026-09-03T15:48:00,0.222,4.8,0.74,1.42,0.405,20.81,27.0,64.6,3.58,1
Jayant OC,2026-09-02T01:10:00,0.261,8.4,0.28,0.27,0.452,20.7,34.3,56.9,2.45,1
Bhubaneswari OC,2026-09-01T09:59:00,0.198,10.0,0.49,0.13,0.304,20.4,26.8,54.1,2.49,1
Bhubaneswari OC,2026-09-05T10:17:00,0.54,5.4,0.68,0,0.353,21,30.8,53.3,2.73,1
Bhatdih,2026-09-03T10:35:00,0.337,5.1,0.21,0.58,0.366,20.17,24.8,49.9,0.31,1
Moonidih,2026-09-04T01:01:00,0.272,4.5,0,0.98,0.403,20.93,30.6,66.6,2.14,0
Kenduadih,2026-09-03T03:44:00,0.597,13.2,0.18,0.17,0.536,20.28,27.5,60.1,1.76,1
Jhanjra UG,2026-09-06T08:10:00,0.238,7.9,0.84,1.33,0.344,20.86,26.5,45.6,2.27,1
Churcha RO,2026-09-07T05:41:00,0.291,9.4,0,1.66,0.391,21,28.7,68.4,2.03,0
Bhubaneswari OC,2026-09-02T18:46:00,0.287,11.9,0.74,0.3,0.458,20.92,30.7,64.8,1.71,1
Bhatdih,2026-09-01T16:45:00,0.305,7.2,0.06,0.81,0.428,20.5,26.2,68.6,1.12,1
Bhubaneswari OC,2026-09-08T03:36:00,0.431,4.0,0.54,0.7,0.219,20.82,29.2,53.6,2.31,1
Rajmahal OC,2026-09-08T09:41:00,0.43,6.5,0.37,0.43,0.23,19.57,32.2,71.7,1.82,1
Adriyala Shaft,2026-09-02T20:28:00,0.285,8.5,0.58,0.61,0.443,20.14,20.0,58.6,0.95,1
Adriyala Shaft,2026-09-08T00:02:00,0.363,10.0,0.42,0.27,0.364,20.51,24.7,62.8,0.02,1
Gevra OC,2026-09-09T04:47:00,0.24,14.6,0.68,0.99,0.413,20.76,22.4,50.5,1.81,1
Kenduadih,2026-09-01T09:52:00,0.306,9.5,0.47,0.34,0.616,20.63,25.8,60.0,1.42,1
Churcha RO,2026-09-04T13:21:00,0.279,5.6,0.55,0.18,0.3,20.96,30.9,67.1,0.96,1
Jayant OC,2026-09-03T13:10:00,0.116,17.7,0.36,0.7,0.492,19.74,28.5,51.6,1.29,1
Gevra OC,2026-09-01T15:05:00,0.365,3.9,0.39,0.9,0.387,21,32.6,51.8,0.6,1
Moonidih,2026-09-05T16:28:00,0.642,8.4,0.39,0.28,0.368,21,29.2,54.0,1.81,1
Jayant OC,2026-09-05T11:26:00,0.36,8.2,0.69,0.61,0.274,20.36,22.6,80.9,2.29,1
Moonidih,2026-09-04T08:03:00,0.208,7.1,1.32,0.71,0.254,19.82,32.7,64.0,0.41,2
Adriyala Shaft,2026-09-06T09:13:00,0.347,9.7,0.61,1.29,0.217,20.21,28.0,67.9,1.38,1
Jayant OC,2026-09-02T07:46:00,0.298,13.5,0.75,0.52,0.426,20.6,25.7,63.6,2.45,1
Bhubaneswari OC,2026-09-07T06:24:00,0.333,5.0,0.35,0.99,0.543,20.1,34.2,62.9,1.82,1
Adriyala Shaft,2026-09-06T08:12:00,0.478,10.4,0.8,0.94,0.429,21,29.7,73.7,0.99,1
